Food Name,Glycemic Index,Calories,Carbohydrates,Protein,Fat,Suitable for Diabetes,Suitable for Blood Pressure,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content,Food Type,Suitable for Diabetes,Food Type
Lentils,0.336842105,0.39135255,0.818064516,0.793548387,0.011,1,1,0.001818182,0.679715302,0.091836735,0.054172767,0.311046512,Carb,1,Protein
Black Beans,0.315789474,0.37804878,0.80516129,0.696774194,0.012,1,1,0.001818182,0.854092527,0.306122449,0.308931186,0.48255814,Carb,1,Protein
Chickpeas,0.294736842,0.403547672,0.79483871,0.612903226,0.0604,1,1,0.021818182,0.622775801,0.201530612,0.065885798,0.505813953,Carb,1,Protein
Salmon,0,0.228381375,0,0.709677419,0.13,1,1,0.042727273,0.446975089,0.081632653,0.019033675,0,Protein,1,Protein
Tuna,0,0.128603104,0,0.838709677,0.01,1,1,0.031818182,0.237010676,0.056122449,0.005856515,0,Protein,1,Protein
Chicken Breast,0,0.182926829,0,1,0.036,1,1,0.067272727,0.23772242,0.073979592,0.016105417,0,Protein,1,Protein
Turkey Breast,0,0.178492239,0,0.987096774,0.032,1,1,0.06,0.22633452,0.066326531,0.021961933,0,Protein,1,Protein
Lean Beef,0,0.277161863,0,0.838709677,0.17,1,1,0.049090909,0.270462633,0.053571429,0.014641288,0,Protein,1,Protein
Egg Whites,0,0.057649667,0.009032258,0.35483871,0.002,1,1,0.150909091,0.104626335,0.015306122,0.040995608,0,Protein,1,Protein
Almonds,0,0.641906874,0.28,0.683870968,0.499,1,1,0.000909091,0.501779359,0.683673469,0.393850659,0.363372093,Carb,1,Protein
Walnuts,0.157894737,0.725055432,0.176774194,0.490322581,0.652,1,1,0.001818182,0.313879004,0.403061224,0.143484627,0.194767442,Other,1,Protein
Peanuts,0.136842105,0.628603104,0.207741935,0.832258065,0.492,1,1,0.016363636,0.501779359,0.428571429,0.134699854,0.247093023,Carb,1,Protein
Cashews,0.284210526,0.61308204,0.389677419,0.587096774,0.439,1,1,0.010909091,0.46975089,0.744897959,0.054172767,0.095930233,Carb,1,Protein
Olive Oil,0,0.980044346,0,0,1,1,1,0.001818182,0.000711744,0.00255102,0.001464129,0,Other,1,Protein
Coconut Oil,0,0.955654102,0,0,1,1,1,0,0,0,0,0,Other,1,Protein
Avocado,0,0.177383592,0.109677419,0.064516129,0.147,1,1,0.006363636,0.34519573,0.073979592,0.017569546,0.194767442,Other,1,Protein
Blueberries,0.557894737,0.063192905,0.180645161,0.022580645,0.003,1,1,0.000909091,0.05480427,0.022959184,0.008784773,0.069767442,Vegetable,1,Protein
Strawberries,0.421052632,0.032150776,0.090322581,0.022580645,0.003,1,1,0.000909091,0.108896797,0.033163265,0.023426061,0.058139535,Vegetable,1,Protein
Raspberries,0.336842105,0.057649667,0.15483871,0.038709677,0.007,1,1,0.000909091,0.10747331,0.068877551,0.036603221,0.188953488,Vegetable,1,Protein
Apples,0.410526316,0.057649667,0.180645161,0.009677419,0.002,1,1,0,0.076156584,0.022959184,0.008784773,0.069767442,Vegetable,1,Protein
Oranges,0.421052632,0.04767184,0.116129032,0.029032258,0.001,1,1,0,0.128825623,0.025510204,0.058565154,0.066860465,Vegetable,1,Protein
Grapes,0.621052632,0.076496674,0.232258065,0.022580645,0.002,1,1,0.001818182,0.13594306,0.015306122,0.016105417,0.026162791,Carb,1,Protein
Watermelon,0.757894737,0.033259424,0.103225806,0.019354839,0.002,1,1,0.000909091,0.079715302,0.025510204,0.011713031,0.01744186,Other,1,Protein
Pineapple,0.694736842,0.055432373,0.167741935,0.016129032,0.001,1,1,0.000909091,0.077580071,0.030612245,0.019033675,0.040697674,Other,1,Protein
Kiwi,0.557894737,0.067627494,0.193548387,0.035483871,0.005,1,1,0.001818182,0.222064057,0.043367347,0.049780381,0.087209302,Carb,1,Protein
Cottage Cheese,0.105263158,0.10864745,0.033548387,0.358064516,0.043,1,1,0.330909091,0.074021352,0.025510204,0.121522694,0,Protein,1,Protein
Greek Salad,0.147368421,0.247228381,0.131612903,0.24516129,0.172,1,1,0.317272727,0.246263345,0.073979592,0.172767204,0.063953488,Other,1,Protein
Quinoa Salad,0.557894737,0.241685144,0.454193548,0.248387097,0.064,1,1,0.174545455,0.22633452,0.163265306,0.065885798,0.119186047,Carb,1,Protein
Lentil Soup,0.463157895,0.128603104,0.272258065,0.25483871,0.006,1,1,0.495454545,0.261921708,0.091836735,0.035139092,0.226744186,Carb,1,Protein
Chicken Salad,0,0.2172949,0.014193548,0.722580645,0.12,1,1,0.209090909,0.177935943,0.051020408,0.032210835,0.011627907,Protein,1,Protein
Fish Tacos,0.736842105,0.263858093,0.254193548,0.429032258,0.114,1,1,0.220909091,0.221352313,0.089285714,0.086383602,0.069767442,Carb,1,Protein
Zucchini Noodles,0.157894737,0.036585366,0.08516129,0.077419355,0.003,1,1,0.007272727,0.25480427,0.094387755,0.023426061,0.034883721,Other,1,Protein
Eggplant Parmesan,0.526315789,0.199556541,0.129032258,0.193548387,0.14,1,1,0.340909091,0.14519573,0.056122449,0.134699854,0.145348837,Other,1,Protein
Spinach Salad,0,0.025498891,0.046451613,0.093548387,0.004,1,1,0.071818182,0.11886121,0.051020408,0.043923865,0.063953488,Vegetable,1,Protein
Stir-Fried Tofu,0.157894737,0.159645233,0.078709677,0.441935484,0.086,1,1,0.009090909,0.146619217,0.132653061,0.298682284,0.043604651,Protein,1,Protein
Steamed Broccoli,0.157894737,0.06097561,0.144516129,0.119354839,0.006,1,1,0.03,0.325266904,0.053571429,0.068814056,0.095930233,Vegetable,1,Protein
Cottage Cheese,0.105263158,0.10864745,0.033548387,0.358064516,0.043,1,1,0.330909091,0.074021352,0.017857143,0.121522694,0,Protein,1,Protein
Mozzarella Cheese,0,0.310421286,0.028387097,0.774193548,0.2,1,1,0.57,0.041281139,0.056122449,0.739385066,0,Protein,1,Protein
Eggplant,0.157894737,0.027716186,0.077419355,0.032258065,0,1,1,0.001818182,0.162989324,0.035714286,0.01317716,0.087209302,Vegetable,1,Protein
Zucchini,0.157894737,0.018847007,0.04,0.038709677,0.003,1,1,0.001818182,0.199288256,0.045918367,0.023426061,0.029069767,Other,1,Protein
Bell Peppers,0.157894737,0.034368071,0.081290323,0.029032258,0.003,1,1,0.000909091,0.12455516,0.022959184,0.014641288,0.072674419,Vegetable,1,Protein
Broccoli,0.157894737,0.06097561,0.144516129,0.141935484,0.006,1,1,0.03,0.224911032,0.053571429,0.068814056,0.095930233,Vegetable,1,Protein
Spinach,0.157894737,0.025498891,0.046451613,0.093548387,0.004,1,1,0.071818182,0.11886121,0.201530612,0.144948755,0.063953488,Vegetable,1,Protein
Kale,0.157894737,0.054323725,0.116129032,0.138709677,0.009,1,1,0.034545455,0.234875445,0.06122449,0.219619327,0.104651163,Vegetable,1,Protein
Cauliflower,0.157894737,0.027716186,0.068387097,0.064516129,0.003,1,1,0.027272727,0.227758007,0.038265306,0.032210835,0.058139535,Vegetable,1,Protein
Asparagus,0.157894737,0.022172949,0.047741935,0.070967742,0.002,1,1,0.001818182,0.143772242,0.035714286,0.035139092,0.063953488,Vegetable,1,Protein
Brussels Sprouts,0.157894737,0.04767184,0.116129032,0.109677419,0.003,1,1,0.022727273,0.24341637,0.043367347,0.052708638,0.110465116,Vegetable,1,Protein
Cabbage,0.157894737,0.027716186,0.077419355,0.041935484,0.001,1,1,0.016363636,0.120996441,0.025510204,0.049780381,0.072674419,Vegetable,1,Protein
Celery,0.157894737,0.006651885,0.015483871,0.009677419,0.001,1,1,0.031818182,0.185053381,0.028061224,0.058565154,0.046511628,Other,1,Protein
Lettuce,0.157894737,0.005543237,0.015483871,0.016129032,0.001,1,1,0.004545455,0.138078292,0.017857143,0.052708638,0.014534884,Other,1,Protein
Quinoa,0.557894737,0.133037694,0.27483871,0.141935484,0.019,1,1,0.006363636,0.122419929,0.163265306,0.02489019,0.081395349,Carb,1,Protein
Brown Rice,0.526315789,0.239467849,0.578064516,0.14516129,0.018,1,1,0.004545455,0.030604982,0.12244898,0.029282577,0.101744186,Carb,1,Protein
Oats,0.578947368,0.431263858,0.855483871,0.54516129,0.069,1,1,0.001818182,0.305338078,0.352040816,0.079062958,0.308139535,Carb,1,Protein
Whole Wheat Bread,0.726315789,0.27383592,0.632258065,0.322580645,0.025,1,1,0.383636364,0.109608541,0.155612245,0.122986823,0.183139535,Carb,1,Protein
Barley,0.294736842,0.392461197,0.948387097,0.403225806,0.023,1,1,0.007272727,0.321708185,0.403061224,0.048316252,0.502906977,Carb,1,Protein
Lentils,0.336842105,0.254988914,0.51483871,0.577419355,0.008,1,1,0.001818182,0.520284698,0.091836735,0.027818448,0.453488372,Carb,1,Protein
Chickpeas,0.442105263,0.403547672,0.793548387,0.612903226,0.06,1,1,0.021818182,0.622775801,0.201530612,0.071742313,0.505813953,Carb,1,Protein
Kidney Beans,0.252631579,0.369179601,0.775483871,0.764516129,0.008,1,1,0.001818182,1,0.178571429,0.05124451,0.723837209,Carb,1,Protein
Black Beans,0.315789474,0.375831486,0.80516129,0.677419355,0.014,1,1,0.000909091,0.889679715,0.306122449,0.067349927,0.436046512,Carb,1,Protein
Walnuts,0.157894737,0.725055432,0.176774194,0.490322581,0.652,1,1,0.001818182,0.313879004,0.403061224,0.143484627,0.194767442,Other,1,Protein
Almonds,0,0.637472284,0.258064516,0.677419355,0.499,1,1,0.000909091,0.550177936,0.178571429,0.386530015,0.354651163,Carb,1,Protein
Cashews,0.263157895,0.61308204,0.389677419,0.587096774,0.439,1,1,0.010909091,0.402135231,0.744897959,0.054172767,0.095930233,Carb,1,Protein
Peanuts,0.136842105,0.628603104,0.207741935,0.832258065,0.492,1,1,0.016363636,0.501779359,0.428571429,0.134699854,0.247093023,Carb,1,Protein
Flaxseeds,0,0.592017738,0.372903226,0.590322581,0.422,1,1,0.027272727,0.578647687,1,0.373352855,0.793604651,Carb,1,Protein
Chia Seeds,0.010526316,0.538802661,0.543225806,0.532258065,0.307,1,1,0.014545455,0.289679715,0.854591837,0.9238653,1,Carb,1,Protein
Greek Yogurt,0.115789474,0.0654102,0.046451613,0.322580645,0,1,1,0.032727273,0.100355872,0.030612245,0.174231332,0,Protein,1,Protein
Salmon,0,0.228381375,0,0.709677419,0.134,1,1,0.053636364,0.446975089,0.073979592,0.017569546,0,Protein,1,Protein
Tuna,0,0.128603104,0,0.838709677,0.008,1,1,0.031818182,0.246263345,0.056122449,0.01317716,0,Protein,1,Protein
Chicken Breast,0,0.182926829,0,1,0.036,1,1,0.057272727,0.176512456,0.081632653,0.016105417,0,Protein,1,Protein
Lean Beef,0,0.277161863,0,0.838709677,0.17,1,1,0.05,0.279715302,0.056122449,0.016105417,0,Protein,1,Protein
Turkey Breast,0,0.162971175,0,0.903225806,0.017,1,1,0.036363636,0.268327402,0.071428571,0.016105417,0,Protein,1,Protein
Shrimp,0,0.094235033,0,0.64516129,0.009,1,1,0.108181818,0.170106762,0.040816327,0.081991215,0,Protein,1,Protein
Soy Milk,0.357894737,0.059866962,0.041290323,0.106451613,0.03,1,1,0.042727273,0.083985765,0.035714286,0.136163982,0.034883721,Other,1,Protein
Almond Milk,0.263157895,0.043237251,0.019354839,0.032258065,0.03,1,1,0.065454545,0.045551601,0.022959184,0.267935578,0.014534884,Other,1,Protein
Coconut Milk,0.431578947,0.254988914,0.070967742,0.074193548,0.238,1,1,0.013636364,0.187188612,0.081632653,0.020497804,0.063953488,Other,1,Protein
Avocado,0.157894737,0.177383592,0.116129032,0.064516129,0.147,1,1,0.006363636,0.34519573,0.073979592,0.017569546,0.203488372,Other,1,Protein
Olive Oil,0,0.131929047,0,0,0.135,1,1,0,0,0,0,0,Other,1,Protein
Flaxseed Oil,0,0.133037694,0,0,0.136,1,1,0,0,0,0,0,Other,1,Protein
Avocado Oil,0,0.133037694,0,0,0.136,1,1,0,0,0,0,0,Other,1,Protein
Chia Seed Oil,0,0.133037694,0,0,0.136,1,1,0,0,0,0,0,Other,1,Protein
Salmon Oil,0,1,0,0,1,1,1,0,0,0,0,0,Other,1,Protein
Apple,0.410526316,0.057649667,0.180645161,0.009677419,0.002,1,1,0.000909091,0.076156584,0.012755102,0.008784773,0.069767442,Vegetable,1,Protein
Pear,0.4,0.063192905,0.197419355,0.012903226,0.001,1,1,0.000909091,0.082562278,0.017857143,0.01317716,0.090116279,Carb,1,Protein
Orange,0.421052632,0.068736142,0.198709677,0.038709677,0.002,1,1,0,0.128825623,0.025510204,0.06295754,0.090116279,Carb,1,Protein
Blueberries,0.557894737,0.063192905,0.180645161,0.022580645,0.003,1,1,0.000909091,0.05480427,0.022959184,0.008784773,0.069767442,Vegetable,1,Protein
Strawberries,0.421052632,0.032150776,0.090322581,0.022580645,0.003,1,1,0.000909091,0.108896797,0.033163265,0.023426061,0.058139535,Vegetable,1,Protein
Raspberries,0.336842105,0.058758315,0.15483871,0.038709677,0.007,1,1,0.000909091,0.10747331,0.056122449,0.039531479,0.188953488,Vegetable,1,Protein
Watermelon,0.757894737,0.033259424,0.098064516,0.019354839,0.002,1,1,0.000909091,0.079715302,0.025510204,0.011713031,0.011627907,Other,1,Protein
Pineapple,0.621052632,0.055432373,0.167741935,0.016129032,0.001,1,1,0.000909091,0.077580071,0.030612245,0.019033675,0.040697674,Other,1,Protein
Kiwi,0.557894737,0.067627494,0.189677419,0.035483871,0.005,1,1,0.002727273,0.168683274,0.043367347,0.049780381,0.087209302,Other,1,Protein
Cucumber,0.157894737,0.017738359,0.046451613,0.022580645,0.002,1,1,0.001818182,0.104626335,0.025510204,0.023426061,0.014534884,Other,1,Protein
Celery,0.157894737,0.017738359,0.04516129,0.022580645,0.002,1,1,0.072727273,0.185053381,0.028061224,0.058565154,0.046511628,Other,1,Protein
Lettuce,0,0.005543237,0.012903226,0.016129032,0,1,1,0.025454545,0.138078292,0.010204082,0.026354319,0.014534884,Other,1,Protein
Spinach,0,0.025498891,0.046451613,0.093548387,0.004,1,1,0.071818182,0.397153025,0.201530612,0.144948755,0.063953488,Vegetable,1,Protein
Kale,0,0.054323725,0.116129032,0.138709677,0.009,1,1,0.034545455,0.234875445,0.084183673,0.219619327,0.104651163,Vegetable,1,Protein
Broccoli,0.157894737,0.06097561,0.144516129,0.119354839,0.006,1,1,0.03,0.224911032,0.053571429,0.068814056,0.095930233,Vegetable,1,Protein
Cauliflower,0.157894737,0.027716186,0.068387097,0.064516129,0.003,1,1,0.027272727,0.227758007,0.038265306,0.032210835,0.058139535,Vegetable,1,Protein
Carrots,0.431578947,0.045454545,0.129032258,0.029032258,0.002,1,1,0.062727273,0.227758007,0.030612245,0.048316252,0.081395349,Vegetable,1,Protein
Green Beans,0.157894737,0.034368071,0.091612903,0.058064516,0.002,1,1,0.005454545,0.148754448,0.06377551,0.054172767,0.098837209,Vegetable,1,Protein
Tomato,0.4,0.019955654,0.050322581,0.029032258,0.002,1,1,0.004545455,0.168683274,0.028061224,0.014641288,0.034883721,Other,1,Protein
Tofu,0.157894737,0.159645233,0.030967742,0.506451613,0.08,1,1,0.009090909,0.106761566,0.094387755,1,0.031976744,Protein,1,Protein
Quorn,0,0.11751663,0.058064516,0.451612903,0.02,1,1,0.008181818,0.308185053,0.145408163,0.01317716,0.081395349,Protein,1,Protein
Turkey Breast,0,0.209534368,0,0.870967742,0.082,1,1,0.059090909,0.241281139,0.073979592,0.019033675,0,Protein,1,Other
Lean Beef,0,0.277161863,0,0.838709677,0.17,1,1,0.049090909,0.279003559,0.056122449,0.010248902,0,Protein,1,Other
Lamb,0,0.286031042,0,0.806451613,0.17,1,1,0.051818182,0.212811388,0.058673469,0.020497804,0,Protein,1,Other
Pork Tenderloin,0,0.158536585,0,0.967741935,0.03,1,1,0.045454545,0.311032028,0.089285714,0.01317716,0,Protein,1,Other
Oats,0.578947368,0.431263858,0.851612903,0.54516129,0.069,1,1,0.001818182,0.305338078,0.451530612,0.079062958,0.308139535,Carb,1,Other
Brown Bread,0.894736842,0.27383592,0.619354839,0.303225806,0.018,1,1,0.346363636,0.088967972,0.073979592,0.117130307,0.194767442,Carb,1,Other
Whole Wheat Pasta,0.389473684,0.137472284,0.331612903,0.14516129,0.008,1,1,0.002727273,0.083985765,0.094387755,0.020497804,0.122093023,Carb,1,Other
Quinoa Pasta,0.557894737,0.134146341,0.27483871,0.135483871,0.022,1,1,0.002727273,0.084697509,0.096938776,0.021961933,0.098837209,Carb,1,Other
Cauliflower Rice,0.157894737,0.027716186,0.068387097,0.064516129,0.003,1,1,0.027272727,0.227758007,0.038265306,0.032210835,0.058139535,Vegetable,1,Other
Zucchini Noodles,0.157894737,0.018847007,0.04,0.038709677,0.002,1,1,0.001818182,0.185765125,0.053571429,0.023426061,0.029069767,Other,1,Other
Cabbage,0.105263158,0.027716186,0.07483871,0.041935484,0.001,1,1,0.016363636,0.120996441,0.030612245,0.058565154,0.063953488,Vegetable,1,Other
Seaweed,0.368421053,0.04767184,0.123870968,0.074193548,0.006,1,1,0.62,0.165836299,0.153061224,0.245973646,0.014534884,Other,1,Other
Miso Soup,0.368421053,0.039911308,0.07483871,0.064516129,0.006,1,1,0.545454545,0.136654804,0.084183673,0.021961933,0.026162791,Other,1,Other
Green Tea,0,0,0,0,0,1,1,0.000909091,0.00569395,0.00255102,0.002928258,0,Other,1,Other
Watermelon,0.757894737,0.033259424,0.098064516,0.019354839,0.002,1,1,0.000909091,0.079715302,0.025510204,0.011713031,0.011627907,Other,1,Other
Berries (mixed),0.421052632,0.04767184,0.136774194,0.022580645,0.004,1,1,0.000909091,0.05480427,0.015306122,0.023426061,0.075581395,Vegetable,1,Other
Quorn,0,0.11751663,0.058064516,0.451612903,0.02,1,1,0.008181818,0.308185053,0.145408163,0.01317716,0.081395349,Protein,1,Other
Turkey Breast,0,0.209534368,0,0.870967742,0.082,1,1,0.059090909,0.241281139,0.073979592,0.019033675,0,Protein,1,Other
Lean Beef,0,0.277161863,0,0.838709677,0.17,1,1,0.049090909,0.279003559,0.056122449,0.010248902,0,Protein,1,Other
Lamb,0,0.286031042,0,0.806451613,0.17,1,1,0.051818182,0.212811388,0.058673469,0.020497804,0,Protein,1,Other
Pork Tenderloin,0,0.158536585,0,0.967741935,0.03,1,1,0.045454545,0.311032028,0.089285714,0.01317716,0,Protein,1,Other
Oats,0.578947368,0.431263858,0.851612903,0.54516129,0.069,1,1,0.001818182,0.305338078,0.451530612,0.079062958,0.308139535,Carb,1,Other
Brown Bread,0.894736842,0.27383592,0.619354839,0.303225806,0.018,1,1,0.346363636,0.088967972,0.073979592,0.117130307,0.194767442,Carb,1,Other
Whole Wheat Pasta,0.389473684,0.137472284,0.331612903,0.14516129,0.008,1,1,0.002727273,0.083985765,0.094387755,0.020497804,0.122093023,Carb,1,Other
Quinoa Pasta,0.557894737,0.134146341,0.27483871,0.135483871,0.022,1,1,0.002727273,0.084697509,0.096938776,0.021961933,0.098837209,Carb,1,Other
Cauliflower Rice,0.157894737,0.027716186,0.068387097,0.064516129,0.003,1,1,0.027272727,0.227758007,0.038265306,0.032210835,0.058139535,Vegetable,1,Other
Zucchini Noodles,0.157894737,0.018847007,0.04,0.038709677,0.002,1,1,0.001818182,0.185765125,0.053571429,0.023426061,0.029069767,Other,1,Other
Seaweed,0.368421053,0.04767184,0.123870968,0.074193548,0.006,1,1,0.62,0.165836299,0.153061224,0.245973646,0.014534884,Other,1,Other
Miso Soup,0.368421053,0.039911308,0.07483871,0.064516129,0.006,1,1,0.545454545,0.136654804,0.084183673,0.021961933,0.026162791,Other,1,Other
Green Tea,0,0,0,0,0,1,1,0.000909091,0.00569395,0.00255102,0.002928258,0,Other,1,Other
Watermelon,0.757894737,0.033259424,0.098064516,0.019354839,0.002,1,1,0.000909091,0.079715302,0.025510204,0.011713031,0.011627907,Other,1,Other
Berries (mixed),0.421052632,0.04767184,0.136774194,0.022580645,0.004,1,1,0.000909091,0.05480427,0.015306122,0.023426061,0.075581395,Vegetable,1,Other
Grapes,0.621052632,0.076496674,0.232258065,0.022580645,0.002,1,1,0.001818182,0.13594306,0.028061224,0.014641288,0.026162791,Carb,1,Other
Oranges,0.473684211,0.04767184,0.141935484,0.029032258,0.001,1,1,0,0.128825623,0.025510204,0.06295754,0.066860465,Vegetable,1,Other
Apples,0.410526316,0.057649667,0.180645161,0.009677419,0.002,1,1,0,0.076156584,0.012755102,0.008784773,0.069767442,Vegetable,1,Other
Pears,0.4,0.063192905,0.193548387,0.012903226,0.001,1,1,0.000909091,0.082562278,0.022959184,0.016105417,0.090116279,Carb,1,Other
Avocado,0.157894737,0.177383592,0.116129032,0.064516129,0.15,1,1,0.006363636,0.34519573,0.073979592,0.020497804,0.203488372,Other,1,Other
Coconut,0.473684211,0.392461197,0.193548387,0.106451613,0.335,1,1,0.018181818,0.253380783,0.081632653,0.020497804,0.261627907,Carb,1,Other
Olive Oil,0,0.131929047,0,0,0.135,1,1,0,0,0,0,0,Other,1,Other
Almond Butter,0,0.680709534,0.24516129,0.64516129,0.55,1,1,0,0.533096085,0.772959184,0.39238653,0.337209302,Carb,1,Other
Greek Yogurt,0.115789474,0.0654102,0.046451613,0.322580645,0.004,1,1,0.032727273,0.100355872,0.030612245,0.17715959,0,Protein,1,Other
Quorn,0,0.11751663,0.058064516,0.451612903,0.02,1,1,0.008181818,0.308185053,0.145408163,0.01317716,0.081395349,Protein,1,Other
Turkey Breast,0,0.209534368,0,0.870967742,0.082,1,1,0.059090909,0.241281139,0.073979592,0.019033675,0,Protein,1,Other
Lean Beef,0,0.277161863,0,0.838709677,0.17,1,1,0.049090909,0.279003559,0.056122449,0.010248902,0,Protein,1,Other
Lamb,0,0.286031042,0,0.806451613,0.17,1,1,0.051818182,0.212811388,0.058673469,0.020497804,0,Protein,1,Other
Pork Tenderloin,0,0.158536585,0,0.967741935,0.03,1,1,0.045454545,0.311032028,0.089285714,0.01317716,0,Protein,1,Other
Oats,0.578947368,0.431263858,0.851612903,0.54516129,0.069,1,1,0.001818182,0.305338078,0.451530612,0.079062958,0.308139535,Carb,1,Other
Brown Bread,0.894736842,0.27383592,0.619354839,0.303225806,0.018,1,1,0.346363636,0.088967972,0.073979592,0.117130307,0.194767442,Carb,1,Other
Whole Wheat Pasta,0.389473684,0.137472284,0.331612903,0.14516129,0.008,1,1,0.002727273,0.083985765,0.094387755,0.020497804,0.122093023,Carb,1,Other
Quinoa Pasta,0.557894737,0.134146341,0.27483871,0.135483871,0.022,1,1,0.002727273,0.084697509,0.096938776,0.021961933,0.098837209,Carb,1,Other
Chapati,0.652631579,0.075388027,0.180645161,0.064516129,0.01,1,1,0.002727273,0.044839858,0.073979592,0.020497804,0.063953488,Other,1,Other
Rice,0.768421053,0.144124169,0.374193548,0.087096774,0.003,1,1,0.000909091,0.030604982,0.017857143,0.014641288,0.011627907,Carb,1,Other
Dal,0.105263158,0.129711752,0.258064516,0.225806452,0.006,1,1,0.007272727,0.334519573,0.076530612,0.058565154,0.23255814,Carb,1,Other
Paneer,0,0.293791574,0.038709677,0.580645161,0.21,1,1,0.125454545,0.04341637,0.056122449,0.755490483,0,Protein,1,Other
Chicken Curry,0,0.205099778,0.129032258,0.64516129,0.07,1,1,0.527272727,0.217081851,0.091836735,0.040995608,0.058139535,Other,1,Other
Fish Curry,0,0.15631929,0.025806452,0.580645161,0.07,1,1,0.539090909,0.310320285,0.099489796,0.033674963,0,Protein,1,Other
Vegetable Biryani,0.484210526,0.358093126,0.748387097,0.222580645,0.074,1,1,0.22,0.123843416,0.058673469,0.095168375,0.122093023,Carb,1,Other
Samosa,0.894736842,0.290465632,0.412903226,0.193548387,0.12,0,0,0.363636364,0.122419929,0.056122449,0.036603221,0.058139535,Carb,0,Other
Dosa,0.631578947,0.147450111,0.219354839,0.083870968,0.05,1,1,0.070909091,0.11886121,0.071428571,0.039531479,0.040697674,Carb,1,Other
Idli,0.894736842,0.043237251,0.103225806,0.064516129,0.004,1,1,0.025454545,0.048398577,0.017857143,0.021961933,0.029069767,Other,1,Other
Pakora,0.789473684,0.254988914,0.270967742,0.258064516,0.14,0,0,0.33,0.152313167,0.035714286,0.064421669,0.043604651,Carb,0,Other
Mutton Curry,0,0.277161863,0.064516129,0.838709677,0.15,1,1,0.556363636,0.311743772,0.094387755,0.046852123,0,Protein,1,Other
Butter Chicken,0,0.399113082,0.129032258,0.774193548,0.25,1,1,0.745454545,0.227758007,0.076530612,0.073206442,0.058139535,Other,1,Other
Palak Paneer,0,0.243902439,0.129032258,0.387096774,0.16,1,1,0.336363636,0.234875445,0.178571429,0.571010249,0.087209302,Other,1,Other
Chicken Biryani,0.526315789,0.421286031,0.580645161,0.580645161,0.12,1,1,0.727272727,0.15658363,0.102040816,0.058565154,0.058139535,Carb,1,Other
Aloo Gobi,0.894736842,0.177383592,0.258064516,0.129032258,0.08,1,1,0.418181818,0.370106762,0.102040816,0.153733529,0.11627907,Carb,1,Other
Chana Masala,0.442105263,0.232815965,0.451612903,0.322580645,0.04,1,1,0.4,0.384341637,0.153061224,0.102489019,0.23255814,Carb,1,Other
Baingan Bharta,0.263157895,0.177383592,0.232258065,0.064516129,0.09,1,1,0.327272727,0.327402135,0.06377551,0.036603221,0.203488372,Carb,1,Other
Rajma Chawal,0.578947368,0.354767184,0.709677419,0.387096774,0.05,1,1,0.409090909,0.398576512,0.102040816,0.102489019,0.319767442,Carb,1,Other
Pani Puri,0.894736842,0.088691796,0.193548387,0.064516129,0.01,0,0,0.227272727,0.085409253,0.025510204,0.029282577,0.058139535,Carb,0,Other
